make,name,edition,min_year,max_year,hp,torque,body,door,cylinder,displacement,aspiration,transmission,drive,turbo,super,two_door,man,auto,fwd,rwd,awd
NISSAN,gtr,r35 base,2008,2021,485,434,coupe,2,6,3.8,turbo,auto,rwd,1,0,1,0,1,0,1,0
SCION,frs,base,2013,2016,200,151,coupe,2,4,2.0,na,both,rwd,0,0,1,1,1,0,1,0
SUBARU,brz,1st gen,2013,2019,200,151,coupe,2,4,2.0,na,both,rwd,0,0,1,1,1,0,1,0
SUBARU,brz,2nd gen,2021,2023,232,184,coupe,2,4,2.4,na,both,rwd,0,0,1,1,1,0,1,0
SUBARU,impreza,2.5rs (gm6),1999,2001,165,166,coupe,2,4,2.5,na,both,awd,0,0,1,1,1,0,0,1
SUBARU,impreza,wrx (blobeye),2003,2005,221,221,sedan,4,4,2.0,turbo,man,awd,1,0,0,1,0,0,0,1
SUBARU,impreza,wrx sti (blobeye),2003,2005,265,253,sedan,4,4,2.5,turbo,man,awd,1,0,0,1,0,0,0,1
SUBARU,impreza,wrx va,2014,2021,268,258,sedan,4,4,2.0,turbo,both,awd,1,0,0,1,1,0,0,1
SUBARU,impreza,wrx sti va,2014,2021,305,290,sedan,4,4,2.5,turbo,both,awd,1,0,0,1,1,0,0,1
TOYOTA,toyota 86,gt86,2017,2019,200,151,coupe,2,4,2.0,na,both,rwd,0,0,1,1,1,0,1,0
TOYOTA,toyota 86,gr86,2021,2023,232,184,coupe,2,4,2.4,na,both,rwd,0,0,1,1,1,0,1,0
TOYOTA,supra,a80 base (4th gen),1993,1998,220,209,coupe,2,6,3.0,na,both,rwd,0,0,1,1,1,0,1,0
TOYOTA,supra,a80 turbo (4th gen),1993,1998,320,315,coupe,2,6,3.0,turbo,both,rwd,1,0,1,1,1,0,1,0
TOYOTA,supra,2.0 (5th gen),2020,2023,255,295,coupe,2,6,2.0,turbo,both,rwd,1,0,1,1,1,0,1,0
TOYOTA,supra,3.0 (5th gen),2019,2023,382,369,coupe,2,6,3.0,turbo,both,rwd,1,0,1,1,1,0,1,0
TOYOTA,mr2,aw11,1984,1989,112,105,coupe,2,4,1.6,na,both,rwd,0,0,1,1,1,0,1,0
TOYOTA,mr2,aw11 supercharged,1988,1989,145,137,coupe,2,4,1.6,supercharged,man,rwd,0,1,1,1,0,0,1,0
TOYOTA,mr2,sw20,1990,1994,130,108,coupe,2,4,2.2,na,both,rwd,0,0,1,1,1,0,1,0
TOYOTA,mr2,sw20 turbo,1990,1994,200,200,coupe,2,4,2.0,turbo,man,rwd,1,0,1,1,0,0,1,0
